title,song
波爷,（曾志伟），OS：睁大眼睛，Show Time，，（杰伦、小麦、雪糕），波爷中医 波爷中医 波爷中医 波爷中医 波爷中医 波爷中医，波爷中医 今天打折，波爷中医 今天打折，波爷中医 今天打折，，（小麦），波波波波波波波爷，预备，凭我一身的拳脚功夫走遍了大江南北，你谁 江湖上没有一点地位竟敢跑来这撒野 耶，，（曾志伟），本草纲目有记载，天天天山的雪莲很雪白，我波爷的招牌谁敢不拜，如果你很High就拿钱钱来买买，，（雪糕），像在操纵傀儡，我们在舞动所有关节弯一弯 嘿，那动作精准凭的是那直觉，南拳北腿 我扫荡这天台下的是非，，（小麦、袁咏琳），我点点点你穴（吃葡萄不吐葡萄皮葡萄吃不到），我点点点你穴（吃葡萄不吐葡萄皮葡萄吃不到），我点点点你笑穴（哈哈哈哈哈哈哈哈哈嘿），我点点点你笑穴（哈哈哈哈哈哈哈哈哈嘿），（嘿），，（小麦），预备，凭我一身的拳脚功夫走遍了大江南北，你谁 江湖上没有一点地位竟敢跑来这里撒野 耶，，（曾志伟），本草纲目有记载，天天天山的雪莲很雪白，我波爷的招牌谁敢不拜，如果你很High就拿钱钱来买买，，（雪糕），像在操纵傀儡，我们在舞动所有关节弯一弯 嘿，那动作精准凭的是那直觉，南拳北腿 我扫荡这天台下的是非，，（小麦、袁咏琳），我点点点你穴（吃葡萄不吐葡萄皮葡萄吃不到），我点点点你穴（吃葡萄不吐葡萄皮葡萄吃不到），我点点点你笑穴（哈哈哈哈哈哈哈哈哈嘿），我点点点你笑穴（哈哈哈哈哈哈哈哈哈嘿），（嘿～嘿），，OP：JVR Music Int'l Ltd.，SP：Universal Music Publishing Ltd.Taiwan
轨迹 (Live),词:黄俊郎 曲:周杰伦，，，，怎么隐藏我的悲伤，失去你的地方，你的发香散得匆忙，我已经跟不上，闭上眼睛还能看见，你离去的痕迹，在月光下一直找寻，那想念的身影，如果说分手是苦痛的起点，那在终点之前我愿意再爱一遍，想要对你说的不敢说的爱，我会发着呆然后忘记你，接着紧紧闭上眼，想着那一天会有人代替，让我不再想念你，，我会发着呆然后微微笑，接着紧紧闭上眼，又想那一年你温柔的脸，在我忘记之前，，心里的眼泪模糊了视线，你会看不见
阳明山,我找 找 找你不到，要怎么抱 抱 抱你的腰，你终于 笑笑笑笑，我知道，小指勾 点头 牵手 朋友，GO，，是男生都想要戴校花（戴校花），绝不能让别人看笑话（看笑话），来场抽钥匙的复古趴（复古趴），趴趴趴 趴啦趴啦趴，，Everybody跟着我，谁说夜店才有Party（Hey Hey），把你的手放胸口，我是说放我的胸口（Hey Hey），我喜欢爱笑的你，但是这一句太俗气（Hey Hey），改换文青的造句，你一抹微笑如茉莉，，我摇 摇 摇杯饮料，阴阳山要 要 要点热闹，我低头 笑笑笑笑，说好巧，跳个舞 再走 快乐 在我，GO，，迎着风一路欣赏海芋（赏海芋），你紧抱我这一场花季（场花季），你说是不能说的秘密（的秘密），嘘~，，从你暧昧的眼神里，心事好拥挤好像有话传递，背对背煮着温泉蛋，滚烫的热情让爱情变神秘，哒啦哒哒啦哒（快熟了），哒啦哒哒啦哒（要熟了），啊煮到我的手啦，，Everybody跟着我，谁说夜店才有Party（Hey Hey），把你的手放胸口，我是说放我的胸口（Hey Hey），我喜欢爱笑的你，但是这一句太俗气（Hey Hey），改换文青的造句，你一抹微笑如茉莉，，Everybody跟着我，谁说夜店才有Party（Hey Hey），有人心情坏天气，轮胎就故意偷漏气（Hey Hey），为赋新词装忧郁，雾满楼春雨添瓦绿（Hey Hey），白话一点也可以，我心里满满都是你 你 你 你，，制作人：周杰伦，电吉他：罗宇轩（Josh Lo），DJ Sctrach：郭正男（Dj Afro），长号：鄧世伟，小喇叭：林昀佋，萨克斯：鲁湘永，，录音师：杨瑞代（Gary Yang）、罗宇轩（Josh Lo），录音室：JVR Studio，混音师：林迈可，混音室：VIP Music，，ISRC TWK971401101，OP JVR Music Int'l Ltd.，SP Universal Music Publishing Ltd. Taiwan
你怎么连话都说不清楚 (Live),接下来 带来一首比较正常一点的歌，，这首歌没有唱过 但是是我写的，，写给一个好朋友的歌 那 我自己重新来唱，，我觉得应该版本真的也不错，，，，想别的，，可是在你眼中察觉什么 一闪而过，，像是 像是寂寞，，于是我会更沉默，，没说的，，可是在你眼中察觉闪逝一样过，，可是也不能察觉什么 一闪而过，，而我尴尬笑着走开，，好像 像是寂寞，，于是我装做不懂，，怎么拆穿不同，，怎么能拆穿你的不同，，偏偏 这地球这么挤这么小这么瘦，，太阳刻意晒得那么凶，，忘记多远像在他消失离开以后，，为什么你出现在他出现以后，，你怎么连话都说不清楚，，那温柔的tone我听得清楚，，他站在我的身边，，你站在我的面前，，我站在他的身边，，你站在我的面前，，他站在我的面前，，你经过我的身边，，怎么这样心里会难过，，你怎么连话都说不清楚，，那温柔的痛我记得清楚，，你站在我的身边，，他经过我的面前，，忽然之间心里又难过，，为什么，，记录当时天空，，为什么你却又记得清楚
我要夏天,
米兰的小铁匠,跑遍了牧场又绕过了村庄，他就站在街角的旧报摊，眼睛盯着隔壁里的橱窗，一把吉他远远欣赏，，木炭 一箩筐，木炭 一直放，木炭 剩一半，火炉烫小铁匠存钱买期望，在流汗，，巴洛克建筑的街道旁，一家烟雾缭绕的酒馆，波兰的吟唱诗人在弹唱，小铁匠在门外，进不去在苦恼，他的铜板还太少，，他真的真的想知道，那首来自东欧的民谣和弦，到底什么调，米兰的天空刚破晓，寻马碲铁还要，敲多少吉他才能买得到，他真的真的想知道，他不知道怎么办才好睡不着，他将那扑满打破了，小小愿望就快实现了他在笑，，跑遍了牧场又绕过了村庄，他就站在街角的旧报摊，眼睛盯着隔壁里的橱窗，一把吉他远远欣赏，，木炭 一箩筐，木炭 一直放，木炭 剩一半，火炉烫小铁匠存钱买期望，在流汗，，巴洛克建筑的街道旁，一家烟雾缭绕的酒馆，波兰的吟唱诗人在弹唱，小铁匠在门外，进不去在苦恼，他的铜板还太少，，他真的真的想知道，那首来自东欧的民谣和弦，到底什么调，米兰的天空刚破晓，寻马碲铁还要，敲多少吉他才能买得到，他真的真的想知道，他不知道怎么办才好睡不着，他将那扑满打破了，小小愿望就快实现了他在笑，，他真的真的想知道，那首来自东欧的民谣和弦，到底什么调，米兰的天空刚破晓，寻马碲铁还要，敲多少吉他才能买得到，他真的真的想知道，他不知道怎么办才好睡不着，他将那扑满打破了，小小愿望就快实现了他在笑
怎么了,上车了 收拾心情背上行李 我走了，一再重复听你喜欢听的歌，甜蜜回忆太多心乱了 真的结束了，，舍不得 你唱的生日快乐歌 还记得，你的温柔方式终于我懂了，话题聊到这里你笑了 却也太迟了，，我用咖啡拉花拉出白色的线 煮一杯眷恋，你侧脸在咖啡表面 形成了思念 形成怀念，你长发披肩 我渐渐的勾画出你嘴角弧线，所有的从前 我慢慢的喝掉有你在的画面，，手中的寂寞续杯 苦了谁，清醒了当初离开你的感觉，在不是冬天季节 冷了离别，，我还想听你叫我宝贝，怕你身边多了个谁，失眠的夜 独自面对，花少了蝶 树枯了叶，，还想听你叫我宝贝，痛快心碎 或许干脆，两人世界 满天的风雪，我爱过的谁，，怎么了（你说呢），为何沟通最后总是我哭了（不说了），承认犯错又能如何 你选择（我认了），是不是我们都太自我（自我）借口要自由，，沉默了（离开了），明明彼此付出比谁都要多（我才多），却相爱的比谁都要不成熟（都怪我），是不是等伤口都愈合（愈合）才能再拥有，，我用咖啡拉花拉出白色的线 煮一杯眷恋，你侧脸在咖啡表面 形成了思念 形成怀念，你长发披肩 我渐渐的勾画出你嘴角弧线（有你在的画面），所有的从前 我慢慢的喝掉有你在的画面，，手中的寂寞续杯 苦了谁，清醒了当初离开你的感觉，在不是冬天季节 冷了离别，，我还想听你叫我宝贝，怕你身边多了个谁，失眠的夜 独自面对，花少了蝶 树枯了叶，，还想听你叫我宝贝，痛快心碎 或许干脆，两人世界 满天的风雪，我爱过的谁，，我还想听你叫我宝贝，怕你身边多了个谁，失眠的夜 独自面对，花少了蝶 树枯了叶，，还想听你叫我宝贝，痛快心碎 或许干脆，两人世界 满天的风雪，我爱过的谁，，制作人：周杰伦，女声：袁咏琳（Cindy Yen），，录音师：杨瑞代（Gary Yang）、罗宇轩（Josh Lo），录音室：JVR Studio，混音师：林迈可，混音室：VIP Music，，ISRC TWK971401105，OP JVR Music Int'l Ltd.，SP Universal Music Publishing Ltd. Taiwan
不能说的秘密 (Live),冷咖啡离开了杯垫，，我忍住的情绪在很后面，，拼命想挽回的从前，，在我脸上依旧清晰可见，，，最美的不是下雨天，，是曾与你们的演唱回忆，，回忆的画面 在荡着秋千，，梦开始不甜，，，你说把爱渐渐放下会走更远，，又何必去改变 已错过的时间，，你用你的指尖阻止我说再见，，想像你在身边 在完全失去之前，，，你说把爱渐渐放下会走更远，，或许命运的签 只让我们遇见，，只让我们相恋这一季的秋天，，飘落后才发现 这幸福的碎片，，要我怎么捡，，，冷咖啡离开了杯垫，，我忍住的情绪在很后面，，拼命想挽回的从前，，在我脸上依旧清晰可见，，，最美的不是下雨天，，是曾与你躲过雨的屋檐，，回忆的画面 在荡着秋千，，梦开始不甜，，，你说把爱渐渐放下会走更远，，又何必去改变 已错过的时间，，你用你的指尖阻止我说再见，，想像你在身边 在完全失去之前，，，你说把爱渐渐放下会走更远，，又何必去改变 已错过的时间，，只让我们相恋这一季的秋天，，飘落后才发现 这幸福的碎片，，要我怎么捡
献世 (粤语Live版),我没有胆挂念 你没有心见面 试问我可以去边，只要我出现 只怕你不便 亦连累你丢脸，你是我的秘密 我是你的废物 缺席也不算损失，今晚你生日 祝我有今日 地球上快消失，，眼泪还是留给天抚慰　你是前度何必听我吠，再不走有今生无下世　你是否想我起这个毒誓，宁愿失恋亦不想失礼　难道要对着你力歇声嘶，即使不抵 都要眼闭 我这种身世 有甚么资格 献世，，我共你不够熟 眼泪也比较浊 也没气质对你哭，不介意孤独 比爱你舒服 别离就当祝福，，即使不抵都要眼闭，我自卑不怕 有自尊只怕 怕献世，，，制作人：周杰伦，吉他：蔡科俊Again、李庭匡 贝斯：陈任佑 鼓：陈柏州，键盘：洪筠惠、洪敬尧、蔡朝华 打击乐：李国华，录音工程：柯宗佑，录音工程录音室：杨大纬录音工作室，混音工程：杨大纬，混音工程录音室：杨大纬录音工作室，OP：Alfa Music Publishing Co.Ltd.，ISRC TW-C23-06-00-102 / CN-E04-06-310-02/A.J6
黑色幽默,难过 是因为闷了很久，，是因为想了太多，，是心理起了作用，，，你说 苦笑常常陪着你，，在一起有点勉强，，该不该现在休了我，，，不想太多，，我想一定是我听错弄错搞错，，拜托 我想是你的脑袋有问题，，，随便说说，，其实我早已经猜透看透不想多说，，只是我怕眼泪撑不住，，，不懂 你的黑色幽默，，想通 却又再考倒我，，说散 你想很久了吧，，我不想拆穿你，，，当作 是你开的玩笑，，想通 却又再考倒我，，说散 你想很久了吧，，败给你的黑色幽默，，我的认真败给黑色幽默
上海一九四三,泛黄的春联还残留在墙上，依稀可见几个字岁岁平安，在我没回去过的老家米缸，爷爷用楷书写一个满，，黄金葛爬满了雕花的门窗，夕阳斜斜映在斑驳的砖墙，铺着榉木板的屋内还弥漫，姥姥当年酿的豆瓣酱，，我对着黑白照片开始想像，爸和妈当年的模样，说着一口吴侬软语的姑娘缓缓走过外滩，，消失的 旧时光 一九四三，在回忆 的路上 时间变好慢，老街坊 小弄堂，都是属于那年代白墙黑瓦的淡淡的忧伤，，消失的 旧时光 一九四三，回头看 的片段 有一些风霜，老唱盘 旧皮箱，装满了明信片的铁盒里藏着一片玫瑰花瓣
免费教学录影带,OS：，- 喂，老板，- 哎，年轻人，又来看吉他啦，- 我要那把，- 那把？啊？哈哈哈！那把是琵琶 不是吉他，- 我说旁边那把，- 旁边那把很贵的耶，- 你可不可以自然一点，，如果你 想要变成一个Rocker，你就必须要先有一把Guitar，刷和弦的时候尽量不用Pick，啊 看起来样子会比较随性，就算你弹错了大家会以为 你是故意 (哒哒哒哒)，，你是不是 啊哈 感觉到了，我的和弦 啊哈 在重复着，哎呦不错 代表你耳朵没有聋，Blues就是在重复这几个和弦，摇滚的节奏在右手 灵魂在左手，心就是宇宙 我弹的叫自由 (哒哒哒哒)，，听我的Blues (Blues) 要学会尖叫 (尖叫)，比一个Peace (Peace) 是为了拍照 (拍照)，丢一块Ice (Ice) 叫他不要吵 (不要吵)，摇滚不是为了把妹 是为了梦想，当然魅力太强 被别人爱上 我没办法，，啊 断了，没关系再买一把吉他 (吉他)，没有钱就借别人的吧 (的吧)，怎么会有人喜欢摔吉他 (吉他)，有种你就摔最贵的吉他 (吉他)，你要好好珍惜它 它才会对你说话，，手在弹 如果脚有点闲，再加点舞蹈就太完美了，举起你的单手给她个啵，千万别在这时放个屁啵，，OhOh 美女在哪你就要看到哪，你一定以为我接下来要唱副歌，OhOh 还没 不急 我先教你弹，再升一格 再升一格 最后退一格，，啊 听我的Blues (Blues) 要学会尖叫 (尖叫)，比一个Peace (Peace) 是为了拍照 (拍照)，丢一块Ice (Ice) 叫他不要吵 (不要吵)，摇滚不是为了把妹 是为了梦想，当然魅力太强 被别人爱上 我没办法，再来一次，，如果你加几个音就变乡村风味，大家听久了都 (咩) 会很想喝牛奶，牛仔很忙 没有空帮你挤牛奶，(这是羊不是牛齁) (是喔)，不过不要笨到自己跑去挤牛奶 (没有啦)，因为临时要在路边找到一头牛真的很难，(啦啦啦啦啦)，，副歌 听我的Blues (Blues) 要学会尖叫 (尖叫)，比一个Peace (Peace) 是为了拍照 (拍照)，丢一块Ice (Ice) 叫他不要吵 (不要吵)，摇滚不是为了把妹 是为了梦想，当然魅力太强 被别人爱上，当然魅力太强 被别人爱上 我没办法，再来一次 最后一次 再补一次，，，制作人：周杰伦，电吉他：蔡科俊Again，木吉他：卢家宏，鼓：陈柏州Mr.Q，贝斯：陈任佑，录音师：杨瑞代Gary、郭宗佑，录音室：JVR Studio、超因素录音室，混音工程：杨大纬录音工作室，，OP: JVR Music Int'l Ltd.，SP: Sony/ATV Music Publishing，ISRC TW-K97-10-016-04
东风破 (Live),一盏离愁　孤独伫立在窗口，，我在门后　假装你人还没走，，旧地如重游　月圆更寂寞，，夜半清醒的烛火　不忍苛责我，，，一壶漂泊　浪迹天涯难入喉，，你走之后　酒暖回忆思念瘦，，水向东流　时间怎么偷，，花开就一次成熟　我却错过，，，谁在用琵琶弹奏　一曲东风破，，岁月在墙上剥落　看见小时候，，犹记得那年我们都还很年幼，，而如今琴声幽幽　我的等候　你没听过，，谁在用琵琶弹奏　一曲东风破，，枫叶将故事染色　结局我看透，，篱笆外的古道我牵着你走过，，荒烟漫草的年头　就连分手都很沉默，，，一壶漂泊　浪迹天涯难入喉，，你走之后　酒暖回忆思念瘦，，水向东流　时间怎么偷，，花开就一次成熟　我却错过，，，谁在用琵琶弹奏　一曲东风破，，岁月在墙上剥落　看见小时候，，犹记得那年我们都还很年幼，，而如今琴声幽幽　我的等候　你没听过，，谁在用琵琶弹奏　一曲东风破，，枫叶将故事染色　结局我看透，，篱笆外的古道我牵着你走过，，荒烟漫草的年头　就连分手都，，，谁在用琵琶弹奏　一曲东风破，，岁月在墙上剥落　看见小时候，，犹记得那年我们都还很年幼，，而如今琴声幽幽　我的等候　你没听过，，耶耶耶耶耶，，篱笆外的古道我牵着你走过，，荒烟漫草的年头　就连分手都沉默，，，篱笆外的古道我牵着你走过 就连分手都沉默
我不配 (Live),这街上太拥挤 太多人有秘密 玻璃上有雾气谁被隐藏起过去，你脸上的情绪 在还原那场雨 这巷弄太过弯曲我找不到你，，你跟我挥挥手 我感觉很开心 我现在要走到 走到你那边去，这日子不再绿 又斑驳了几句 剩下搬空回忆的我在大房子里，，还来不及仔仔细细写下你的关于，描述我如何爱你 你却微笑的离我而去 一起来，，这感觉 已经不对 我努力在挽回，一些些 应该体贴的感觉 我没给，你嘟嘴 许的愿望很卑微 在妥协，是我忽略 你不过要人陪，，这感觉 已经不对 我已经在挽回，一页页 不忍情节 怎么办 我发呆，你默背 为我掉过几次泪 多憔悴，而我心碎你受罪 你的美 我不配，，哎呦哎呦 不错喔 大家都会唱喔，要不要听我改编一下 呵，，这街上太拥挤 太多人有秘密 玻璃上有雾气谁被隐藏起过去，你脸上的情绪 在还原那场雨 这巷弄太过弯弯曲曲走不回故事里，，怎么办 怎么办 我接下不会唱，怎么办 歌词怎么办 歌词全部都忘记了，没关系 我即兴唱 随便唱唱你们开心，喔喔耶耶 喔喔耶耶，，来不及 仔仔细细写下你的关于，描述我如何爱你 你却微笑的离我而去，，这感觉 已经不对 我努力在挽回，一些些 应该体贴的感觉 我没给，你嘟嘴 许的愿望很卑微 在妥协，而我忽略 你不过要人陪，，这感觉 已经不对 我最后才了解，一页页 不忍情绪的情节 你好累，你默背 为我掉过几次泪 多憔悴，而我心碎你受罪 你的美 我不配，，喔喔喔喔喔耶耶耶耶耶，，我感觉我不配 我感觉我不配 我不配 我不配，，而我担心你受罪 你的美 我不配，我不配 我不配 我不配 谢谢
流浪诗人,海边篱笆 咿呀咿呀 风一直刮，我像枝桠 帮你过滤了风沙，墙上的时差 滴答滴答 还在牵挂，我们都偏爱她的长发 Gary~，，你坐火车 忔恰忔恰 返来阮这，亲像燕仔 落雨躲屋檐怕寒，写一张批纸 汐沙汐沙 写谁ㄟ名，你讲伊ㄟ代志乎阮听，，又想你一次 一次 是马按怎加你熟识，我真的不该 不该 简单一句爱说不出来，，经过山丘 嗨呦嗨呦 汗一直流，行李不多 但思念一定带走，咱行同条路 哒啰哒啰，马行去哪 随风漂浪去辶日迌，，等发芽 树有树枝 等写字 阮有地址，等乎满 茶有茶米 等消息 咱拢咧想伊，春天 花有花蕊 等展翅 田有田婴，等结局 流浪诗人的回忆，，又想你一次 一次 是马按怎加你熟识，我真的不该 不该 简单一句爱说不出来，，海边篱笆 咿呀咿呀 风一直刮，我像枝桠 帮你过滤风沙，墙上的时差 滴答滴答 还在牵挂 我爱她的长发，，你坐火车 忔恰忔恰 返来阮这 亲像燕仔怕寒，写一张批纸 汐沙汐沙 写谁ㄟ名 你讲乎阮听，，远方回音 我们迎风边走边弹琴，咱ㄟ人生 因为伊开始认真，她的眼睛 像是一幅翠绿的风景，咱ㄟ感情 越唱放越深，，，制作人：周杰伦，吉他：蔡科俊Again，鼓：陈柏州，录音师：杨瑞代、毛琮文，录音室：JVR Studio、Studio-ONE (TW)、Again Studio，混音师：杨大纬，混音录音室：杨大纬录音工作室，，OP: JVR Music Int'l Ltd.，ISRC TW-K97-08-015-08
窃爱,
路小雨,
天台的月光,天台月光撒 你翦影我傻，知道自己配不上 但我守着光，保护你那就像 捍卫这场美景一样，，风吹切不断 故事的发展，属于我们的浪漫 悄悄 被酝酿，这天台的月光 赐我爱上你的力量，，天台月光撒 你翦影我傻，知道自己配不上 但我守着光，保护你那就像 捍卫这场美景一样，，风吹切不断 故事的发展，属于我们的浪漫 悄悄 被酝酿，这天台的月光 赐我爱上你的力量，，OP：JVR Music Int'l Ltd.，SP：Universal Music Publishing Ltd.Taiwan
黄金甲,黄金甲，旌旗如虹 山堆叠如峰，这军队蜿蜒如龙 杀气如风，血色如酒红，将军我傲气如冲 神色悍如凶，黄金甲如忠，铁骑彪悍我行如轰 轰，景色 如冬，萧瑟 如枫，攻势 如弓，魂断 犹如梦中，一静一动 如松，千年不变，如空 如空 如空，血染盔甲 我挥泪杀，满城菊花 谁的天下，宫廷之上 狼烟风沙，生死不过 一刀的疤，仇恨绵延如火 愁入眉头如锁，情感漂泊漂泊 漂泊一世如我，今生繁华如昨 兵戎相见如破，千军万马万马 万马奔腾那骨肉相残如错，陈年战事如酒 成败转眼如秋，遍地烽火烽火 烽火回忆如锈，那烽火回忆如锈，那杀戮过重如否，那烽火回忆如锈，皇室血脉如断流，血染盔甲 我挥泪杀，满城菊花 谁的天下，宫廷之上 狼烟风沙，生死不过 一刀的疤，盔甲 我挥泪杀，满城菊花 谁的天下，宫廷之上 狼烟风沙，生死不过 一刀的疤，血染盔甲 我挥泪杀，横倒立马 看谁倒下，爱恨对话 历史留下，谁在乱箭 之中潇洒
皮影戏,微薄的身躯 刻划出厚实尊严，小小屏幕 撑起大大一片天，观众静候在我的眼前 灯光闪耀在后面 我碎碎念，唱念做打喜怒哀乐 让你妈妈扭一下，记得跟着锣鼓点 哇勒点点点点点点点，，我们的表演向左边 向右边，左右都逢源不恐后或争先，筋斗云就算在十万八千里，看我只需要翻三圈，近在咫尺 远在天边，笑我疯癫 凭你的脸？，还是快去排队买票看我的表演，大声点我听不见，，嘿，皮影似神仙 我身轻如燕，你面前忽隐又忽现，飘逸在云和雾里面，傲气贯山巅，随性唱一遍变世代传承的经典，嘿 嘿 嘿 嘿 呼，，皮影似神仙 我身轻如燕，你面前忽隐又忽现，飘逸在云和雾里面，傲气贯山巅，随性唱一遍变世代传承的经典，嘿 嘿 嘿 嘿 呼，，剧力万千惊叹声连连，动静掌控全在绕指间，透明的眼 纯净的笑脸，只看颜色就能辩忠奸，唱念做打喜怒哀乐 让你妈妈扭一下，记得跟着锣鼓点 哇勒点点点点点点点，，哥说的故事 百善孝为先，哥说的不是 吃的虾为先，筋斗云就算在十万八千里，看我只需要翻三圈，近在咫尺 远在天边，笑我疯癫 凭你的脸？，还是快去排队买票看我的表演，大声点我听不见，，嘿，皮影似神仙 我身轻如燕，你面前忽隐又忽现，飘逸在云和雾里面，傲气贯山巅，随性唱一遍变世代传承的经典，嘿 嘿 嘿 嘿 呼，，皮影似神仙 我身轻如燕，你面前忽隐又忽现，飘逸在云和雾里面，傲气贯山巅，随性唱一遍变世代传承的经典，嘿 嘿 嘿 嘿 呼，，，制作人：周杰伦，执行制作：罗宇轩Josh Lo、李汪哲Chavy Lee，录音师：罗宇轩Josh Lo，混音师：林迈可，录音室：JVR Studio，OP: JVR Music Int'l Ltd.，SP: Sony/ATV Music Publishing
四季列车,远方的山  花开的声音  属于春天，下一节车厢  盛夏  友情客串上演，就好像连续快速弹奏黑白琴键，车窗外一幕幕的风景比你还要善变，，我跟踪你的香水味中的那微甜，寻找线索为了证明你依然鲜艳，列车它继续向前  落叶它泪洒秋天，越是接近你身边  景色就越像寒冷冬天，，噗噗  汽笛响  迎接神秘的雾，准备到你面前却迷了路，Oh嘟嘟  你嘟嘴  表情有点胡涂，你说你忘了我身上的温度，，噗噗  你眼神里有猫的孤独，靠近你会危险我不在乎，Oh嘟嘟  转个圈  甩掉我的速度，像猫一样的舞步我会记住，，踢开门后周围马上充满了敌意的脸，每一张脸都紧绷带有着威胁的拳，所有的英雄想在你面前有所表现，你踮起了脚尖嘴唇烙印我鼻尖，，我跟踪你的香水味中的那微甜，寻找线索为了证明你依然鲜艳，列车它继续向前  落叶它泪洒秋天，越是接近你身边  景色就越像寒冷冬天，，噗噗  汽笛响  迎接神秘的雾，准备到你面前却迷了路，Oh嘟嘟  你嘟嘴  表情有点胡涂，你说你忘了我身上的温度，，噗噗  你眼神里有猫的孤独，靠近你会危险我不在乎，Oh嘟嘟  转个圈  甩掉我的速度，像猫一样的舞步我会记住，，，制作人：周杰伦，执行制作：罗宇轩、李旺哲，录音师：罗宇轩、李旺哲，混音师：李汪哲，录音室：JVR Studio，混音室：JVR Studio，，ISRC TWK971201101，OP	JVR Music Int'l Ltd.，SP  Sony/ATV Music Publishing
嘻哈空姐,起落架离开地上 空姐亲切的讲，请我打开遮阳板 将安全带系上，接着问是否用餐 需不需要毛毯，而我沉睡在客舱 梦境在我正上方，，她没有狐狸脸蛋 竟然可以这麼耐看，发香 爱爱爱爱上 醒来在飞机上 座位还在晃，一半 她放慢脚步 想我拼命跑 想我去追上，我知道 因为 我想，，她问我Coffee tea or me 我深深倒抽一口气，她身体摆动的频率 让我几乎喘不过气，，我点咖啡不加糖 正对着她品尝，那免税品的包装 诱人像她一样，我决定边走边唱 她的眼神渴望，充满暗示与想像 给予人一种挑战，，梦游的初步阶段 我脑海播放了一段，形状 幻幻幻幻想 醒来在走道上 随节奏在晃，闪亮 她一路翘臀 推着那餐车性感的模样，短裙的弧度 漂亮，，她问我Coffee tea or me 我深深倒抽一口气，她身体摆动的频率 让我几乎喘不过气，她问我Coffee tea or me 我张大眼睛在怀疑，厚嘴唇很有吸引力 我会不会瞬间麻痹，，，制作人：周杰伦，录音师：杨瑞代Gary，录音室：JVR Studio，混音师：林迈可，，OP: JVR Music Int'l Ltd.，SP: Sony/ATV Music Publishing，ISRC TW-K97-10-016-07
青花瓷 / 春泥 / 默 / 一起摇摆 (Live) ,那英：素胚勾勒出青花笔锋浓转淡，瓶身描绘的牡丹一如你初妆，冉冉檀香透过窗心事我了然，宣纸上走笔至此搁一半，釉色渲染仕女图韵味被私藏，而你嫣然的一笑如含苞待放，你的美一缕飘散，去到我去不了的地方，天青色等烟雨 而我在等你，炊烟袅袅升起 隔江千万里，在瓶底书汉隶仿前朝的飘逸，就当我为遇见你伏笔，天青色等烟雨 而我在等你，月色被打捞起 晕开了结局，如传世的青花瓷自顾自美丽，你眼带笑意，天青色等烟雨 而我在等你，炊烟袅袅升起 隔江千万里，在瓶底书汉隶仿前朝的飘逸，就当我为遇见你伏笔，天青色等烟雨 而我在等你，月色被打捞起 晕开了结局，如传世的青花瓷自顾自美丽，你眼带笑意，如传世的青花瓷自顾自美丽，你眼带笑意，，汪峰：漫天的话语，纷乱落在耳际，你我沉默不回应，牵你的手，你却哭红了眼睛，路途漫长无止尽，多想提起勇气，好好的呵护你，不让你受委屈，苦也愿意，那些痛的记忆，落在春的泥土里，滋养了大地，开出下一个花季，风中你的泪滴，滴滴落在回忆里，让我们取名叫做珍惜，那些痛的记忆，落在春的泥土里，滋养了大地，开出下一个花季，风中你的泪滴，滴滴落在回忆里，让我们取名叫做珍惜，让我们懂得学会珍惜，，周杰伦：忍不住化身一条固执的鱼，逆着洋流独自游到底，年少时候虔诚发过的誓，沉默地沉没在深海里，重温几次，结局还是 失去你，我被爱判处终身孤寂，不还手 不放手，笔下画不完的圆，心间填不满的缘，是你，为何爱判处众生孤寂，挣不脱 逃不过，眉头解不开的结，命中解不开的劫，是你，眉头解不开的结，命中解不开的劫，是你，，庾澄庆：一起摇摆，一起摇摆，给我你的手和你的腰肢，让我们融化在这节奏里，不要在意昨日的忧伤片段，不要理会那些未曾兑现的承诺，让我们一起摇摆一起摇摆，忘记所有伤痛来一起摇摆，忘掉防晒霜忘掉付税单，忘掉去年夏天糟糕的爱，忘掉玫瑰金忘掉裘皮裙，忘掉那些酒醉的甜蜜谎言，让我们一起摇摆一起摇摆，忘记所有烦恼来一起摇摆，昨日的欢愉成明天的惆怅，不如此刻让我们尽情地一起摇摆，合：让我们一起摇摆一起摇摆，忘记所有烦恼来一起摇摆，昨日的欢愉成明天的惆怅，不如此刻让我们尽情地一起摇摆，一起摇摆，一起摇摆，一起摇摆，一起摇摆，一起摇摆，一起摇摆，一起摇摆，一起摇摆
